الاعراض,x,الامراض,y,Symptoms,Disorders,finish
التفكير السلبي بشكل مستمر,x50,,,Constant negative thoughts,,
التذمر بشكل مستمر,x51,,,Constant complaining,,
الغضب الشديد,x52,,,Excessive anger,,
الغضب بشكل مستمر,x53,,,Constant anger,,
مشاكل في الادراك والفهم,x54,,,Difficulties in Understandin,,
مشاكل في النطق,x55,,,Speaking difficulties,,
عدم اتساق الكلام,x56,,,Uncoordinated speech,,
عدم القدرة على الكتابة,x57,,,Unability of writing,,
عدم القدرة على القراءة,x58,,,Unability of reading,,
فقدان الذاكرة,x59,,,lossy memory,,
زيادة في الوزن,x60,,,Overweight,,
نقصان في الوزن,x61,,,Weight loss,,
الشعور بالاحباط الشديد,x62,,,Excessive frustration,,
الشعور بالاحباط بشكل مستمر,x63,,,Constant frustration,,
الاختلاج بشكل متكرر,x64,,,Frequent seizures,,
الهلوسة المستمرة,x65,,,Constant hallucinations,,
نوبات من الهلوسة,x66,,,Episodes of hallucination,,
الهلوسة السمعية,x67,,,Audio hallucinations,,
الهلوسة البصرية,x68,,,Visual hallucinations,,
التوهم,x69,,,Delusion,,
تغيير الشخصية,x70,,,Changes in personality,,
التفكير المفكك,x71,,,Disconnected thinking,,
الشعور بالخوف,x72,,,Constant fear,,
الدوخة,x73,,,Dizziness,,
الارتجاف,x74,,,Frequent flickers,,
التعرق الشديد,x75,,,Oversweating,,
الشعور بالاختناق,x76,,,Feeling of Asphyxia,,
الخوف من الاماكن المغلقة,x77,,,Fear of being locked in a closed place,,
الخوف من التقييد,x78,,,Fear of being restricted or captivated,,
الخوف من اشياء واماكن محددة,x79,,,Fear of specific things and places,,
الرغبة بالبقاء في المنزل,x80,,,Constant desire of staying at home,,
العدوانية,x81,,,Aggression,,
التعصب,x82,,,Intolerance,,
عدم القدرة على التحكم بالجسد,x83,,,Unability of controlling the body,,
ذكريات مؤلمة وصادمة متكررة,x84,,,Frequent traumatizing memories,,
الافراط في العمل,x85,,,Overworking,,
كثرة تناول المنبهات,x86,,,Stimulators overtaking,,
تجنب العلاقات الجنسية,x87,,,Avoiding sexual relations,,
ضعف الرغبة الجنسية,x88,,,Low sex drive,,
ضعف الانتصاب,x89,,,Erectile dysfunction,,
مشاكل في القدرة على الحساب,x90,,,Mathematical cognitive dysfunction,,
الشعور بالنعاس اثناء النهار,x91,,,Excessive daytime sleepiness (EDS),,
ضعف الارادة,x92,,,Lack of willpower,,
عدم الرغبة في التحدث,x93,,,Lack of desire to speak,,
التفكير المفرط حول تشوه المظهر,x94,,,Overthinking about body dysmorphism,,
الشعور بالوحدة,x95,,,Feeling loneness,,
عدم الرغبة بالعمل,x96,,,Lack of desire to work,,
عدم احترام الذات,x97,,,Low self-esteem,,
عدم الرغبة في التحدث عن الحالة النفسية,x98,,,Lack of desire to talk about psychological state,,
نقص النشاط,x99,,,Hypoactivity,,
ضعف الشخصية,x100,,,Character weakness,,
المبالغة في حب الذات,x101,,,Excessive egoism,,
المبالغة في الرومنسية,x102,,,Over-romanticization,,
عدم تقبل تغيير الشخصية,x103,,,Unacceptance of personality changing,,
السعي للقبول من الآخرين,x104,,,Excessive need for others acceptance ,,
عدم القدرة على التحكم بالمشاعر,x105,,,Unability of controlling emotions,,
عدم الثقة بالآخرين,x106,,,Excessive trust issues,,
سلوك مؤذي للذات,x107,,,Self-harming behaviour,,
القلق من تخلي الآخرين,x108,,,Worrying about being abandoned,,
الشعور بالاهانة,x109,,,Constant feeling of humiliation,,
الشك بشكل مستمر,x110,,,Constant skepticalness,,
مظهر  خارجي غريب الأطوار,x111,,,Weird appearance ,,
فرط في اللامبالاة,x112,,,Excessive adiaphory,,
عدم الامتثال للمعايير الاجتماعية,x113,,,Nonconformity to social norms,,
استغلال الآخرين,x114,,,Exploitation of others,,
عدم التعاطف مع الآخرين,x115,,,Lack of sympathy,,
الغيرة الزائدة,x116,,,Excessive jealousness,,
الاعتقاد ان الاخرين يغارون من ذاته,x117,,,Jealousy delusion,,
الاعتقاد بالاستثنائية والتميز,x118,,,Exceptionalism delusion,,
البحث عن الاهتمام,x119,,,Seeking attention,,
الشعور بعدم الانتظام,x120,,,Feeling of inconsistency,,
الاهتمام المفرط بالتفاصيل,x121,,,Excessive attention to details,,
الشعور  بأن الوقت ينفذ ويوجد حاجة للمزيد من الجهد,x122,,,Feeling that tim is running out and needing more effort,,
التخطيط الزمني المبالغ فيه للقيام بالمهام,x123,,,Overplanning,,
التعرض لحدث صادم,x124,,,Exposure to a traumatic event,,
الوسواس بالنظافة,x125,,,Excessive concern with cleanliness,,
